center_x,center_y,circularity,bbox_x,bbox_y,bbox_width,bbox_height,area
601.84,790.76,0.8453,587,775,31,32,701.00
666.68,766.43,0.8700,659,759,17,16,187.50
539.16,708.02,0.9048,532,701,15,15,160.50
845.45,660.22,0.7241,832,647,28,27,525.50
758.96,647.74,0.4289,718,606,84,96,4882.00
767.85,566.10,0.7682,757,556,21,21,292.00
260.57,545.92,0.8597,253,539,15,15,152.50
689.58,524.00,0.7530,682,517,16,16,167.50
583.35,466.09,0.8860,570,453,27,27,541.00
684.82,399.87,0.7387,675,392,19,18,209.50
662.17,321.18,0.6644,650,307,25,28,437.00
582.08,289.52,0.8032,574,281,18,18,211.00
